2bgcI1.pdb4	2bgcH1.pdb4	2200.7
3bg6E1.pdb2	3bg6H1.pdb2	1150.95
3bg6E1.pdb2	3bg6G1.pdb2	448.75
3bg6E1.pdb2	3bg6F1.pdb2	2669.55
3bg6H1.pdb2	3bg6G1.pdb2	2641.95
3bg6H1.pdb2	3bg6F1.pdb2	457.05
3bg6G1.pdb2	3bg6F1.pdb2	1143.45
1bgfA2.pdb1	1bgfA1.pdb1	1033.95
4bgyB3.pdb1	4bgyB2.pdb1	1267.65
4bgyB3.pdb1	4bgyA2.pdb1	261.85
4bgyB3.pdb1	4bgyB1.pdb1	1267.7
4bgyB3.pdb1	4bgyA1.pdb1	262.0
4bgyB3.pdb1	4bgyA3.pdb1	2365.8
4bgyB2.pdb1	4bgyA2.pdb1	2365.8
4bgyB2.pdb1	4bgyB1.pdb1	1267.7
4bgyB2.pdb1	4bgyA1.pdb1	261.95
4bgyB2.pdb1	4bgyA3.pdb1	262.05
4bgyA2.pdb1	4bgyB1.pdb1	262.1
4bgyA2.pdb1	4bgyA1.pdb1	432.25
4bgyA2.pdb1	4bgyA3.pdb1	432.25
4bgyB1.pdb1	4bgyA1.pdb1	2365.85
4bgyB1.pdb1	4bgyA3.pdb1	261.9
4bgyA1.pdb1	4bgyA3.pdb1	432.25
1bg8A1.pdb1	1bg8B1.pdb1	1095.5
3bglB1.pdb1	3bglC1.pdb1	1310.65
3bglB1.pdb1	3bglD1.pdb1	638.65
3bglB1.pdb1	3bglA1.pdb1	4043.95
3bglC1.pdb1	3bglD1.pdb1	3992.0
3bglC1.pdb1	3bglA1.pdb1	635.15
3bglD1.pdb1	3bglA1.pdb1	1311.1
3bg2A3.pdb1	3bg2B3.pdb1	1793.6
3bg2A3.pdb1	3bg2B2.pdb1	98.75
3bg2A3.pdb1	3bg2A1.pdb1	645.7
3bg2A3.pdb1	3bg2A2.pdb1	645.75
3bg2B3.pdb1	3bg2B2.pdb1	640.05
3bg2B3.pdb1	3bg2A1.pdb1	98.8
3bg2B3.pdb1	3bg2B1.pdb1	640.1
3bg2B2.pdb1	3bg2B1.pdb1	640.05
3bg2B2.pdb1	3bg2A2.pdb1	1793.65
3bg2A1.pdb1	3bg2B1.pdb1	1793.7
3bg2A1.pdb1	3bg2A2.pdb1	645.75
3bg2B1.pdb1	3bg2A2.pdb1	98.85
6bgsC1.pdb1	6bgsA1.pdb1	2192.6
6bgsC1.pdb1	6bgsB1.pdb1	374.8
6bgsA1.pdb1	6bgsB1.pdb1	200.3
1bgyE1.pdb1	1bgyD1.pdb1	672.0
1bgyE1.pdb1	1bgyK1.pdb1	52.15
1bgyE1.pdb1	1bgyO1.pdb1	301.3
1bgyE1.pdb1	1bgyF1.pdb1	10.05
1bgyE1.pdb1	1bgyJ1.pdb1	655.35
1bgyE1.pdb1	1bgyG1.pdb1	573.4
1bgyE1.pdb1	1bgyA1.pdb1	1007.75
1bgyE1.pdb1	1bgyC1.pdb1	533.4
1bgyD1.pdb1	1bgyF1.pdb1	377.6
1bgyD1.pdb1	1bgyJ1.pdb1	884.1
