6atkC1.pdb3	6atkF1.pdb3	354.75
4at6B1.pdb1	4at6A1.pdb1	1841.7
4atpF1.pdb2	4atpG1.pdb2	1035.0
4atpF1.pdb2	4atpH1.pdb2	104.95
4atpF1.pdb2	4atpE1.pdb2	4505.15
4atpG1.pdb2	4atpH1.pdb2	4491.55
4atpG1.pdb2	4atpE1.pdb2	104.25
4atpH1.pdb2	4atpE1.pdb2	1036.35
6atiE1.pdb2	6atiD1.pdb2	2354.35
6atiE1.pdb2	6atiF1.pdb2	586.25
6atiD1.pdb2	6atiF1.pdb2	642.5
3at6B1.pdb1	3at6B2.pdb1	28.1
3at6B1.pdb1	3at6A1.pdb1	879.5
3at6B1.pdb1	3at6A2.pdb1	413.6
3at6B2.pdb1	3at6A1.pdb1	413.6
3at6B2.pdb1	3at6A2.pdb1	879.55
3at6A1.pdb1	3at6A2.pdb1	379.1
4atqI1.pdb3	4atqJ1.pdb3	1049.05
4atqI1.pdb3	4atqL1.pdb3	4385.55
4atqI1.pdb3	4atqK1.pdb3	103.1
4atqJ1.pdb3	4atqL1.pdb3	103.3
4atqJ1.pdb3	4atqK1.pdb3	4487.25
4atqL1.pdb3	4atqK1.pdb3	1031.95
2atpC1.pdb2	2atpD1.pdb2	913.6
2atpC1.pdb2	2atpF1.pdb2	96.45
2atpD1.pdb2	2atpF1.pdb2	136.5
2athA1.pdb1	2athB1.pdb1	817.15
6atbA1.pdb1	6atbB1.pdb1	4193.4
3at1B1.pdb1	3at1C2.pdb1	304.1
3at1B1.pdb1	3at1A3.pdb1	29.3
3at1B1.pdb1	3at1D1.pdb1	797.75
3at1B1.pdb1	3at1A1.pdb1	634.0
3at1C3.pdb1	3at1A2.pdb1	271.75
3at1C3.pdb1	3at1C2.pdb1	966.0
3at1C3.pdb1	3at1D3.pdb1	668.15
3at1C3.pdb1	3at1C1.pdb1	965.95
3at1C3.pdb1	3at1D2.pdb1	24.05
3at1C3.pdb1	3at1B2.pdb1	304.1
3at1A2.pdb1	3at1D3.pdb1	270.3
3at1A2.pdb1	3at1A3.pdb1	996.6
3at1A2.pdb1	3at1B3.pdb1	29.25
3at1A2.pdb1	3at1B2.pdb1	634.0
3at1A2.pdb1	3at1A1.pdb1	996.6
